iter	Passed	Remaining
0	51	51043
1	53	26783
2	56	18697
3	58	14661
4	61	12256
5	64	10651
6	66	9491
7	69	8620
8	72	7946
9	74	7407
10	77	6973
11	80	6602
12	82	6291
13	85	6021
14	88	5788
15	90	5585
16	93	5400
17	96	5246
18	98	5103
19	101	4973
20	104	4861
21	106	4755
22	109	4663
23	112	4578
24	115	4523
25	118	4445
26	121	4373
27	124	4308
28	126	4244
29	129	4186
30	132	4128
31	134	4077
32	137	4027
33	140	3979
34	142	3937
35	145	3897
36	148	3859
37	150	3821
38	153	3786
39	156	3753
40	159	3722
41	161	3692
42	164	3663
43	167	3634
44	169	3605
45	172	3577
46	175	3551
47	177	3527
48	180	3504
49	183	3482
50	185	3459
51	188	3437
52	191	3417
53	194	3399
54	196	3379
55	199	3360
56	202	3342
57	204	3324
58	207	3307
59	210	3290
60	212	3275
61	215	3259
62	218	3245
63	220	3229
64	223	3214
65	226	3200
66	228	3187
67	231	3173
68	234	3160
69	236	3147
70	239	3135
71	242	3122
72	244	3109
73	247	3097
74	250	3086
75	252	3075
76	255	3063
77	258	3053
78	261	3042
79	263	3033
80	266	3022
81	269	3012
82	271	3002
83	274	2993
84	277	2983
85	279	2973
86	282	2964
87	285	2955
88	287	2946
89	290	2937
90	293	2928
91	295	2920
92	298	2912
93	301	2904
94	303	2895
95	306	2887
96	309	2880
97	312	2871
98	314	2864
99	317	2857
100	320	2849
101	322	2842
102	325	2835
103	328	2828
104	331	2821
105	333	2813
106	336	2807
107	339	2800
108	341	2793
109	344	2786
110	347	2779
111	349	2772
112	352	2766
113	355	2759
114	357	2752
115	360	2746
116	363	2740
117	365	2734
118	368	2728
119	371	2722
120	374	2718
121	376	2712
122	379	2706
123	382	2701
124	385	2696
125	387	2689
126	390	2683
127	393	2678
128	395	2672
129	398	2667
130	401	2661
131	403	2655
132	406	2650
133	409	2644
134	411	2638
135	414	2632
136	417	2627
137	419	2622
138	422	2617
139	425	2611
140	427	2607
141	430	2601
142	433	2596
143	436	2592
144	438	2586
145	441	2581
146	443	2576
147	446	2571
148	449	2567
149	452	2561
150	454	2556
151	457	2552
152	460	2547
153	462	2542
154	465	2537
155	468	2532
156	470	2528
157	473	2523
158	476	2518
159	478	2513
160	481	2508
161	484	2504
162	486	2500
163	489	2495
164	492	2491
165	494	2486
166	497	2482
167	500	2478
168	503	2473
169	505	2469
170	508	2464
171	511	2460
172	513	2456
173	516	2452
174	519	2448
175	522	2444
176	524	2440
177	527	2435
178	530	2431
179	532	2426
180	535	2422
181	538	2418
182	540	2414
183	543	2410
184	546	2406
185	549	2403
186	551	2398
187	554	2395
188	557	2390
189	559	2386
190	562	2381
191	566	2382
192	568	2378
193	571	2374
194	574	2370
195	576	2366
196	579	2362
197	582	2358
198	584	2354
199	587	2350
200	590	2347
201	593	2342
202	595	2338
203	598	2334
204	601	2331
205	603	2327
206	606	2323
207	609	2320
208	612	2316
209	614	2312
210	617	2308
211	620	2305
212	622	2301
213	625	2298
214	628	2294
215	631	2290
216	633	2287
217	636	2284
218	639	2280
219	642	2277
220	644	2273
221	647	2269
222	650	2266
223	653	2262
224	655	2258
225	658	2254
226	661	2251
227	663	2247
228	666	2244
229	669	2240
230	672	2237
231	674	2233
232	677	2230
233	680	2226
234	682	2223
235	685	2219
236	688	2215
237	690	2211
238	693	2208
239	696	2204
240	698	2200
241	701	2196
242	704	2193
243	706	2189
244	709	2186
245	712	2185
246	715	2182
247	718	2179
248	721	2175
249	724	2172
250	726	2169
251	729	2165
252	732	2162
253	734	2158
254	737	2155
255	740	2151
256	743	2148
257	745	2144
258	748	2141
259	751	2138
260	754	2134
261	756	2131
262	759	2128
263	762	2124
264	764	2121
265	767	2118
266	770	2115
267	773	2111
268	775	2108
269	778	2104
270	781	2101
271	783	2097
272	786	2094
273	789	2091
274	791	2087
275	794	2084
276	797	2081
277	799	2077
278	802	2074
279	805	2071
280	808	2068
281	811	2065
282	813	2062
283	816	2058
284	819	2055
285	821	2051
286	824	2048
287	827	2045
288	829	2041
289	832	2038
290	835	2035
291	838	2032
292	840	2029
293	843	2026
294	846	2022
295	849	2019
296	852	2016
297	854	2013
298	857	2010
299	860	2007
300	863	2004
301	865	2000
302	868	1997
303	871	1994
304	873	1990
305	876	1987
306	879	1984
307	881	1981
308	884	1978
309	887	1974
310	890	1972
311	892	1968
312	895	1965
313	898	1962
314	901	1959
315	904	1956
316	906	1953
317	909	1950
318	912	1947
319	914	1944
320	917	1940
321	920	1937
322	922	1934
323	925	1931
324	928	1928
325	930	1924
326	933	1921
327	936	1918
328	938	1915
329	941	1911
330	944	1908
331	947	1905
332	949	1902
333	952	1899
334	955	1896
335	957	1893
336	960	1890
337	963	1886
338	966	1883
339	968	1880
340	971	1877
341	974	1874
342	977	1871
343	979	1868
344	982	1865
345	985	1862
346	988	1859
347	990	1855
348	993	1852
349	996	1849
350	998	1846
351	1001	1843
352	1004	1840
353	1006	1837
354	1009	1834
355	1012	1831
356	1015	1828
357	1017	1825
358	1020	1822
359	1023	1818
360	1025	1815
361	1028	1812
362	1031	1809
363	1033	1806
364	1036	1803
365	1039	1800
366	1042	1797
367	1044	1794
368	1047	1791
369	1050	1788
370	1053	1785
371	1055	1782
372	1058	1779
373	1061	1776
374	1064	1773
375	1067	1770
376	1069	1767
377	1072	1764
378	1075	1761
379	1078	1758
380	1080	1756
381	1083	1752
382	1086	1750
383	1089	1747
384	1091	1744
385	1094	1740
386	1097	1737
387	1099	1734
388	1102	1731
389	1105	1728
390	1107	1725
391	1110	1722
392	1113	1719
393	1116	1716
394	1118	1713
395	1121	1710
396	1124	1707
397	1126	1704
398	1129	1701
399	1132	1698
400	1134	1695
401	1137	1692
402	1140	1689
403	1142	1686
404	1145	1683
405	1148	1680
406	1151	1677
407	1153	1674
408	1156	1671
409	1159	1668
410	1161	1665
411	1164	1662
412	1167	1659
413	1169	1655
414	1172	1652
415	1175	1649
416	1177	1646
417	1180	1643
418	1183	1640
419	1186	1637
420	1188	1634
421	1191	1631
422	1194	1628
423	1196	1625
424	1199	1622
425	1202	1619
426	1204	1616
427	1207	1613
428	1210	1610
429	1213	1607
430	1215	1605
431	1218	1602
432	1221	1599
433	1223	1596
434	1226	1593
435	1229	1590
436	1232	1587
437	1234	1584
438	1237	1581
439	1240	1578
440	1243	1575
441	1245	1572
442	1248	1569
443	1251	1566
444	1253	1563
445	1256	1560
446	1259	1557
447	1261	1554
448	1264	1551
449	1267	1548
450	1269	1545
451	1272	1543
452	1275	1540
453	1278	1537
454	1280	1534
455	1283	1531
456	1286	1528
457	1289	1525
458	1291	1522
459	1294	1519
460	1297	1516
461	1299	1513
462	1302	1510
463	1305	1507
464	1308	1505
465	1310	1502
466	1313	1499
467	1316	1496
468	1319	1493
469	1321	1490
470	1324	1487
471	1326	1484
472	1329	1481
473	1332	1478
474	1335	1475
475	1337	1472
476	1340	1469
477	1343	1466
478	1345	1463
479	1348	1460
480	1351	1458
481	1354	1455
482	1356	1452
483	1359	1449
484	1362	1446
485	1364	1443
486	1367	1440
487	1370	1438
488	1373	1435
489	1376	1432
490	1378	1429
491	1381	1426
492	1384	1423
493	1386	1420
494	1389	1417
495	1391	1414
496	1394	1411
497	1397	1408
498	1400	1405
499	1402	1402
500	1405	1399
501	1408	1396
502	1411	1394
503	1413	1391
504	1416	1388
505	1419	1385
506	1421	1382
507	1424	1379
508	1427	1376
509	1429	1373
510	1432	1370
511	1435	1367
512	1438	1365
513	1440	1362
514	1443	1359
515	1446	1356
516	1449	1353
517	1451	1350
518	1454	1347
519	1457	1345
520	1459	1342
521	1462	1339
522	1465	1336
523	1467	1333
524	1470	1330
525	1473	1327
526	1476	1324
527	1478	1321
528	1481	1319
529	1484	1316
530	1486	1313
531	1489	1310
532	1492	1307
533	1494	1304
534	1497	1301
535	1500	1298
536	1502	1295
537	1505	1292
538	1508	1289
539	1510	1287
540	1513	1284
541	1516	1281
542	1518	1278
543	1521	1275
544	1524	1272
545	1527	1269
546	1529	1266
547	1532	1263
548	1535	1261
549	1537	1258
550	1540	1255
551	1543	1252
552	1547	1250
553	1554	1251
554	1559	1250
555	1562	1247
556	1565	1245
557	1568	1242
558	1572	1240
559	1575	1237
560	1578	1235
561	1581	1232
562	1584	1230
563	1587	1227
564	1591	1225
565	1596	1223
566	1600	1222
567	1602	1219
568	1605	1216
569	1608	1213
570	1611	1210
571	1613	1207
572	1616	1204
573	1619	1201
574	1621	1198
575	1624	1195
576	1627	1193
577	1630	1190
578	1632	1187
579	1636	1185
580	1640	1183
581	1644	1180
582	1650	1180
583	1654	1178
584	1659	1177
585	1663	1175
586	1667	1173
587	1671	1171
588	1674	1168
589	1679	1166
590	1682	1164
591	1687	1162
592	1690	1160
593	1694	1158
594	1700	1157
595	1705	1155
596	1710	1154
597	1718	1154
598	1724	1154
599	1730	1153
600	1733	1151
601	1737	1149
602	1744	1148
603	1749	1147
604	1756	1146
605	1762	1145
606	1768	1145
607	1775	1144
608	1781	1143
609	1788	1143
610	1794	1142
611	1801	1142
612	1808	1141
613	1813	1139
614	1821	1140
615	1825	1137
616	1828	1134
617	1830	1131
618	1833	1128
619	1836	1125
620	1839	1122
621	1841	1119
622	1844	1116
623	1847	1112
624	1849	1109
625	1852	1106
626	1855	1103
627	1857	1100
628	1860	1097
629	1863	1094
630	1866	1091
631	1868	1088
632	1871	1085
633	1874	1081
634	1876	1078
635	1879	1075
636	1882	1072
637	1884	1069
638	1887	1066
639	1890	1063
640	1892	1060
641	1895	1057
642	1898	1053
643	1901	1050
644	1903	1047
645	1906	1044
646	1909	1041
647	1911	1038
648	1914	1035
649	1917	1032
650	1919	1029
651	1922	1026
652	1925	1023
653	1928	1020
654	1931	1017
655	1933	1014
656	1936	1010
657	1939	1007
658	1941	1004
659	1944	1001
660	1947	998
661	1949	995
662	1952	992
